parent_asin,price,rated,Leaf_Category,Color,Chipset Brand,Operating System,Average Battery Life (in hours),RAM_Size,RAM_Type,Storage_Size,Storage_Type,Screen_Category,Brand_Normalized,Weight_Category
B07YXZ1CP3,153.0,Highly,Traditional Laptops,Gray,PowerVR,Chrome OS,10 Hours,4GB,DDR3,32GB,HDD,,ASUS,Light
B07YZ1WR6H,2299.0,Highly,Traditional Laptops,Royal blue,NVIDIA,Windows 10 Pro,17 Hours,16GB,DDR3,1TB,SSD,Normal,ASUS,Light
B07YZX2ZF6,229.0,Highly,Traditional Laptops,Silver/Atom,Intel,Chrome OS,,4GB,DDR3,32GB,SSD,Compact,Acer,Heavy
B07Z1YK539,522.49,Highly,2 in 1 Laptops,Silver,Intel,Chrome OS,10 Hours,4GB,DDR3,64GB,HDD,Compact,ASUS,Light
B07Z34R6Y9,194.68,Decent,Traditional Laptops,Black,Intel,Windows 10 Pro,,8GB,DDR4,256GB,SSD,Compact,Dell,Light
B0BL65X98W,1999.99,Well,Traditional Laptops,Black,NVIDIA,Windows 10 Pro,,16GB,DDR4,1TB,SSD,Normal,MSI,Heavy
B07ZF69HXV,449.18,Highly,2 in 1 Laptops,Platinum,Intel,Windows 10 Home,13 Hours,4GB,DDR3L,128GB,SSD,Compact,Microsoft,Light
B07ZMBSZ42,234.99,Highly,Traditional Laptops,Silver,Intel,Chrome OS,,,,,eMMC,,Acer,Heavy
B07ZS5SLKF,1218.79,Decent,Traditional Laptops,Black,NVIDIA,Windows 10 Home,,16GB,DDR4,512GB,SSD,Normal,Alienware,Heavy
B07ZTQDWX8,139.0,Highly,Traditional Laptops,Gray,AMD,Chrome OS,9 Hours,4GB,DDR4,64GB,SSD,Compact,HP,Light
B0811VJ5X5,219.63,Highly,Traditional Laptops,Light Titan,Intel,Chrome OS,,4GB,DDR3,64GB,eMMC,Compact,Samsung,Light
B0811ZSCLQ,799.9,Highly,Traditional Laptops,Black,NVIDIA,Windows 10 Home,,8GB,DDR4,512GB,SSD,Normal,ASUS,Heavy
B08121BNBS,339.99,Decent,Traditional Laptops,White,Intel,Chrome OS,,8GB,,,eMMC,Compact,HP,Light
B0811ZZMP9,912.08,Highly,Traditional Laptops,12GB RAM | 512GB PCIe SSD,Intel,Windows 10,15 Hours,12GB,DDR4,512GB,SSD,Compact,Lenovo,Light
B0812139N5,1999.0,Decent,Traditional Laptops,Dark Ash,NVIDIA,Windows 10 Home,,16GB,DDR4,512GB,SSD,Normal,HP,Heavy
B081213YMC,1499.0,Highly,Traditional Laptops,Black,Intel,Windows 10,,16GB,DDR4,512GB,SSD,Compact,Dell,Light
B081219LKB,165.0,Decent,Traditional Laptops,Grey,AMD,Windows 10,8 Hours,4GB,DDR2,32GB,eMMC,Compact,Lenovo,Light
B081D9HJ4P,333.0,Highly,Traditional Laptops,Silver,AMD,Windows 10,,8GB,DDR4,128GB,SSD,Compact,HP,Light
B08121C1HV,659.0,Decent,Traditional Laptops,,Intel,Windows 10 Home,5 Hours,12GB,DDR4,256GB,SSD,Normal,ASUS,Light
B08157248B,560.41,Highly,Traditional Laptops,Silver,Apple,macOS 10.13 High Sierra,8 Hours,8GB,DDR3,256GB,SSD,Compact,Apple,Heavy
B081649B1D,187.5,Decent,Traditional Laptops,Gray,Intel,Windows 10,,16GB,,128GB,SSD,Compact,Dell,Heavy
B081721LTM,459.0,Highly,Traditional Laptops,Black,Intel,Windows 10,,8GB,DDR4,256GB,SSD,Normal,Dell,Heavy
B08173ZTJX,529.0,Highly,Traditional Laptops,Black,Intel,Windows 10,,8GB,DDR4,128GB,SSD,,Dell,Heavy
B0817M3WY5,1042.6,Highly,Traditional Laptops,Silver,Intel,Windows 10,,32GB,DDR4,512GB,SSD,Normal,HP,Light
B08192LMDH,355.99,Highly,Traditional Laptops,Silver,Intel,Windows 10,,4GB,,128GB,SSD,Compact,HP,Heavy
B081945D2S,444.0,Highly,Traditional Laptops,,Intel,Windows 10,5 Hours,8GB,,512GB,SSD,Compact,HP,Heavy
B081F3CBT9,219.0,Decent,Traditional Laptops,Silver,AMD,Windows 10,35 Watt Hours,4GB,DDR4,,SSD,Compact,Lenovo,Light
B081FDK94Y,542.9,Highly,Traditional Laptops,Black,Intel,Windows 10,10 Hours,16GB,DDR4,1TB,HDD,Normal,Dell,Light
B081FGHNBL,484.0,Decent,Traditional Laptops,,Intel,Windows 10,10 Hours,16GB,DDR4,512GB,SSD,Normal,Dell,Heavy
B081FX7L27,288.0,Highly,Traditional Laptops,,Intel,Windows 10 Pro 64-bit,,8GB,,128GB,SSD,Compact,Microsoft,Heavy
B0824WGNSZ,199.99,Highly,Traditional Laptops,Black,Allwinner,Chrome OS,11 Hours,4GB,,16GB,eMMC,Compact,Samsung,Light
B081G1F4Y2,191.97,Highly,Traditional Laptops,Black,Intel,Windows 10 Pro,,16GB,DDR4,512GB,SSD,Compact,Dell,Light
B081JY7ZJD,69.99,Highly,Traditional Laptops,Gray,Intel,Chrome OS,12 Hours,4GB,DDR3,32GB,SSD,Compact,Acer,Light
B081K6MCL3,699.0,Highly,Traditional Laptops,,Intel,Windows 10,10 Hours,8GB,,512GB,SSD,Normal,HP,Light
B081LK8WZM,180.0,Highly,Traditional Laptops,,Intel,Chrome OS,11 Hours,4GB,DDR2,32GB,eMMC,Huge,Samsung,Light
B081LVHTVG,499.0,Highly,Traditional Laptops,Black,Intel,Windows 10,,12GB,DDR4,256GB,SSD,Normal,HP,Heavy
B081P23WHJ,1018.22,Decent,Traditional Laptops,Black,NVIDIA,Windows 10,,8GB,DDR4,512GB,SSD,Huge,Lenovo,Heavy
B081PYX89Y,159.99,Well,Traditional Laptops,Black,Intel,Windows 10 Pro 64 Bit-Multi-Language Supports English/Spanish/French,4 Hours,16GB,DDR3L,256GB,SSD,Normal,HP,Heavy
B081Q11FRB,184.99,Well,Traditional Laptops,grey,Intel,Windows 10 Pro 64 Bit-Multi-Language Supports English/Spanish/French,3 Hours,16GB,DDR4,512GB,SSD,Normal,HP,Heavy
B081QSXQQ9,241.99,Well,Traditional Laptops,Black,Intel,Windows 10 Pro,,16GB,,,SSD,Normal,Dell,Heavy
B0BL69BGLM,699.99,Highly,Traditional Laptops,Aluminum Black,AMD,Windows 11,,16GB,DDR4,512GB,SSD,Normal,MSI,Heavy
B081R4T3B7,779.0,Highly,Traditional Laptops,Silver,Intel,Windows 10 Home,,8GB,DDR4,512GB,SSD,Normal,Dell,Heavy
B081RBM8C9,449.0,Highly,Traditional Laptops,,Intel,Windows 10,7 Hours,16GB,,,SSD,Huge,HP,Heavy
B081RP6F8L,1459.99,Highly,Traditional Laptops,Black,Intel,Windows 10 Home,13 Hours,16GB,DDR3,256GB,SSD,Compact,Razer,Light
B081V4GWLN,239.0,Highly,Traditional Laptops,Star Black,Intel,Windows 10 S,8 Hours,4GB,DDR4,64GB,eMMC,Normal,ASUS,Light
B0BLQ8931C,398.98,Highly,Traditional Laptops,Abyss Blue,Intel,Chrome OS,10 Hours,,DDR4X,64GB,eMMC,Compact,Lenovo,Light
B081V6W99V,195.0,Highly,Traditional Laptops,Black,Intel,Windows 10 S,12 Hours,4GB,DDR3,64GB,eMMC,Compact,ASUS,Light
B081VN7GQN,263.75,Decent,Traditional Laptops,Grey,Intel,Windows 10 Home 64 Bit-Multi-Language Supports English/Spanish/French,,4GB,DDR3,500GB,HDD,Compact,HP,Light
B081VSP25F,496.47,Highly,Traditional Laptops,,Intel,Windows 10,,8GB,DDR4,512GB,SSD,Compact,HP,Light
B081Y2K4GY,299.99,Decent,Traditional Laptops,,Intel,Chrome OS,12 Hours,4GB,DDR4,128GB,eMMC,Normal,Acer,Light
B0C1YW5N1V,949.99,Well,Traditional Laptops,Grey,Intel,Windows 10 Pro,12 Hours,16GB,,1TB,SSD,Compact,ASUS,Light
B081YRMWD5,134.0,Highly,Traditional Laptops,dark grey,Intel,Windows 10 Pro,,8GB,DDR3,256GB,SSD,Compact,Lenovo,Heavy
B081Z67TVD,1199.85,Highly,Traditional Laptops,Silver,Intel,Windows 10 Home,,16GB,DDR4,1TB,SSD,,HP,Heavy
B081ZK53GG,434.0,Decent,Traditional Laptops,Platinum,Intel,Windows 10 Home,8 Hours,8GB,DDR4X,256GB,SSD,Compact,Microsoft,Light
B0821ZJBF8,279.99,Decent,Traditional Laptops,Grey 13.3 inch,Intel,Windows 10,6 Hours,8GB,DDR4,128GB,SSD,Compact,Jumper,Light
B0826DJYG1,649.0,Highly,Traditional Laptops,,Allwinner,Windows 10,3 	years,8GB,,256GB,SSD,Normal,Dell,Heavy
B0826NJN1F,225.0,Highly,2 in 1 Laptops,Blizzard White,Intel,Chrome OS,45 Watt Hours,4GB,DDR4,64GB,eMMC,Compact,Lenovo,Light
B0827FB789,478.0,Decent,Traditional Laptops,Grey,AMD,Windows 10 Home,42 Watt Hours,8GB,DDR4,256GB,SSD,,Dell,Heavy
B082DZ74QT,2399.0,Highly,Traditional Laptops,Black,NVIDIA,Windows 10 Pro,,16GB,DDR4,512GB,SSD,Normal,ASUS,Heavy
B082F2YJ18,939.0,Decent,Traditional Laptops,Grey/black,Intel,Windows 10 Home,,16GB,DDR3,512GB,SSD,Compact,Dell,Light
B082FMVN3X,515.0,Highly,Traditional Laptops,,Intel,Windows 10,7 Hours,8GB,,512GB,SSD,Normal,HP,Light
B082J572X8,574.0,Highly,Traditional Laptops,Space Gray,Apple,MacOS 10.15 Catalina,10 Hours,8GB,DDR3,128GB,SSD,Compact,Apple,Heavy
B082L4GNRB,999.99,Decent,Traditional Laptops,Black,Intel,Windows 10 Home,6 Hours,8GB,DDR4,512GB,SSD,Compact,ASUS,Light
B082NH3X1V,151.0,Highly,Traditional Laptops,Grey,AMD,Chrome OS,,4GB,,32GB,eMMC,Compact,HP,Light
B082NZX92C,998.49,Highly,Traditional Laptops,Black,AMD,Windows 10,,12GB,DDR4,512GB,SSD,Huge,HP,Heavy
B082P3LJD8,679.0,Highly,Traditional Laptops,Natural Silver,AMD,Windows 10,10 days,12GB,,256GB,HDD,Compact,HP,
B082P8N4KJ,839.0,Highly,Traditional Laptops,Space Gray,Intel,macOS 11 Big Sur,11 Hours,16GB,DDR4,512GB,SSD,Normal,Apple,Heavy
B082WMS2DT,460.0,Highly,Traditional Laptops,Silver/black,Intel,Windows 10,,8GB,,240GB,SSD,Compact,Toughbook,Heavy
B082XDWKSL,497.69,Decent,Traditional Laptops,Silver,Intel,Windows 10,,16GB,DDR3,512GB,SSD,Compact,HP,Light
B082XHS9N1,596.0,Decent,Traditional Laptops,Silver,Intel,Mac OS,,16GB,,256GB,SSD,Normal,Apple,Heavy
B082XQR86P,1245.0,Highly,Traditional Laptops,Dark Silver,Intel,Windows 10 Home,17 Hours,16GB,DDR4,1TB,SSD,Huge,Lg,Light
B08374BBQG,1989.0,Decent,Traditional Laptops,Space Gray,AMD,MacOS 10.12 Sierra,,32GB,,1TB,SSD,Normal,Apple,Heavy
B08374PJD2,68.89,Decent,Traditional Laptops,,Intel,Chrome OS,11 Hours,4GB,DDR3,16GB,SSD,Compact,HP,Light
B083H2RF8D,1999.0,Decent,Traditional Laptops,Black,Intel,Windows 10 Professional 64-bit,,16GB,DDR4,2TB,SSD,Normal,Laptop Authority,Heavy
B083JSMKDH,653.39,Decent,Traditional Laptops,,Intel,Windows 10,10 Hours,8GB,DDR4,,SSD,Normal,Acer,Light
B083LNY242,405.0,Highly,Traditional Laptops,Gray,Intel,Windows 10 S,12 Hours,4GB,DDR4,128GB,HDD,Compact,ASUS,Light
B083TB2WS8,1298.0,Decent,2 in 1 Laptops,Gray,Intel,Windows 10,15 Hours,12GB,DDR4,512GB,SSD,Compact,Lenovo,Light
B083W4N1Z2,186.98,Highly,Traditional Laptops,Black,Intel,Chrome OS,11 Hours,4GB,DDR3,16GB,SSD,Compact,Samsung,Light
B084BXNPRK,598.89,Highly,Traditional Laptops,Turbo Silver,Intel,Windows 10,7 Hours,8GB,DDR4,1TB,HDD,Huge,HP,Heavy
B084HLLSYW,929.0,Highly,Traditional Laptops,Transparent Silver,Intel,Windows 10 Home,42 Watt Hours,8GB,DDR4,512GB,SSD,Normal,ASUS,Light
B084JJNRR1,154.99,Highly,2 in 1 Laptops,Silver,Intel,Chrome OS,,4GB,DDR4,32GB,SSD,Compact,Acer,Light
B084LVVQ7F,399.99,Highly,Traditional Laptops,Silver,Intel,Windows 10,12 Hours,8GB,DDR3,256GB,SSD,Compact,ASUS,Light
B084MNHG2S,549.95,Decent,Traditional Laptops,Silver/Black,Intel,Windows 10,,8GB,,120GB,SSD,Compact,Panasonic,Heavy
B084PXT9TQ,161.96,Decent,Traditional Laptops,Black,Intel,Windows 10,,8GB,DDR4,256GB,SSD,Compact,HP,Heavy
B084RH4CPF,399.99,Highly,Traditional Laptops,,Intel,Windows 10,7 Hours,8GB,,256GB,HDD,Compact,HP,Light
B084RNT2JB,571.99,Highly,Traditional Laptops,Silver/Black,Intel,Windows 10,,16GB,DDR4,1TB,SSD,Compact,Panasonic,Heavy
B084RSKVQZ,669.99,Highly,Traditional Laptops,2017 Version | Grey,Intel,Windows 10 Home,12 Hours,8GB,DDR3,256GB,SSD,Compact,ASUS,Light
B084SDJ7XW,1479.0,Highly,Traditional Laptops,Royal Blue,NVIDIA,Windows 10 Home,13 Hours,16GB,DDR4,512GB,SSD,Compact,ASUS,Light
B084SQDB1V,221.53,Decent,Traditional Laptops,Black,Qualcomm,Windows 10 Pro,1 Hours,8GB,,256GB,SSD,Compact,Dell,Light
B084TRFGYL,340.0,Highly,Traditional Laptops,Natural Silver,AMD,Windows 10 S,11 Hours,4GB,,128GB,SSD,Compact,HP,Light
B0851YV771,268.62,Highly,2 in 1 Laptops,,Intel,Chrome OS,,4GB,DDR3,,SSD,Compact,Acer,Light
B085281M3B,339.0,Decent,Traditional Laptops,,Integrated,Windows 10 S,10.25 Hours,4GB,DDR4,128GB,SSD,Compact,HP,Light
B0852BTGGH,668.99,Decent,Traditional Laptops,Indie Black,,Windows 10 Home,,,,,,Normal,ASUS,
B0856QVM2F,334.65,Highly,Traditional Laptops,Ice Blue + Iron Grey,MediaTek,Chrome OS,10 Hours,4GB,DDR4,64GB,SSD,Compact,Lenovo,Light
B0858HRLQJ,203.0,Highly,Traditional Laptops,,,,,,,,,,Unknown,
B0858N8CGX,195.0,Highly,Traditional Laptops,Blue,Intel,Chrome OS,5 Hours,4GB,DDR4,64GB,HDD,Compact,Acer,Light
B085B316LG,1999.0,Highly,Traditional Laptops,,NVIDIA,Windows 10 Home,,16GB,DDR4,512GB,SSD,Normal,MSI,Heavy
B085F2VJCK,999.0,Decent,Traditional Laptops,Black,Intel,Windows 10 Professional 64bit,,16GB,DDR3,960GB,SSD,Compact,Panasonic,Light
B0865SCD6L,911.96,Highly,Traditional Laptops,Black,NVIDIA,Windows 10 Home,,16GB,DDR4,512GB,HDD,Normal,ASUS,Heavy
B0865VBN6X,2299.0,Highly,Traditional Laptops,Black,AMD,Windows 10 Pro,,16GB,DDR4,1TB,HDD,Normal,ASUS,Heavy
B086BL5LLZ,154.0,Decent,Traditional Laptops,,Intel,Windows 10 Pro,,8GB,DDR4,256GB,SSD,Compact,Lenovo,Heavy
B086H38JC6,218.6,Highly,Traditional Laptops,Natural Silver,Intel,Windows 10,,4GB,DDR4,128GB,SSD,Normal,HP,Light
B08726QFRM,878.69,Highly,Traditional Laptops,,Intel,Windows 10 Pro,2 	years,16GB,DDR4,512GB,SSD,Normal,Lenovo,Light
B086P7Z8LM,297.0,Highly,Traditional Laptops,Snow White,Intel,Chrome OS,11 Hours,4GB,DDR4,32GB,eMMC,Compact,HP,Light
B086QR83SD,149.0,Decent,2 in 1 Laptops,Charcoal,Intel,Chrome OS,6 Hours,1GB,DDR3,32GB,SSD,Compact,Rca,Light
B086QZPGKZ,849.99,Highly,Traditional Laptops,,NVIDIA,Windows 10 Home,,8GB,DDR4,512GB,HDD,Normal,ASUS,Heavy
B086S3CXWB,169.99,Highly,Traditional Laptops,Black,Intel,Chrome OS,10 Hours,4GB,DDR4,32GB,SSD,Compact,Lenovo,Light
B086TMWGXY,1249.99,Highly,Traditional Laptops,Fortress Gray,NVIDIA,Windows 10 Home,8 Hours,16GB,DDR4,512GB,SSD,Normal,ASUS,Heavy
B086TXRPM9,1049.0,Decent,Traditional Laptops,Black,Intel,Windows 10,,16GB,DDR4,1TB,SSD,Normal,Lenovo,Heavy
B086V1Y5M2,375.0,Highly,Traditional Laptops,Grey,Intel,Windows 11 Home,7 Hours,8GB,DDR4,128GB,SSD,Normal,Lenovo,Heavy
B086VV7HQ3,360.0,Decent,Traditional Laptops,Dark Orchid,Intel,Windows 10 Home,6 Hours,4GB,DDR4,128GB,SSD,Normal,Lenovo,Heavy
B086YDLPQR,1239.0,Highly,Traditional Laptops,,Intel,Windows 10,17 Hours,16GB,DDR4,512GB,SSD,Huge,Lg,Light
B0874VTDHG,219.0,Decent,Traditional Laptops,Silver,Intel,Chrome OS,,4GB,DDR4,64GB,HDD,Normal,Acer,Heavy
B0876MBLTN,1919.99,Well,Traditional Laptops,Brushed Black,NVIDIA,Windows 10 Pro,,32GB,DDR4,,SSD,Normal,ASUS,Heavy
B0878R9JM9,674.99,Highly,Traditional Laptops,Silver,Intel,Windows 10 Home,,8GB,DDR4,512GB,SSD,,Dell,Heavy
B087GXY9SV,295.92,Decent,Traditional Laptops,Silver,Intel,Windows 10 Pro 64,1.5 Hours,16GB,DDR4,512GB,SSD,Compact,HP,Heavy
B087HJ4RRZ,799.0,Decent,Traditional Laptops,Black,AMD,Windows 10 Home,30 minutes,8GB,DDR4,512GB,HDD,Normal,Lenovo,Heavy
B087NHGPXC,399.0,Highly,Traditional Laptops,Black,AMD,Windows 11 Home,,16GB,DDR4,1TB,SSD,Compact,HP,Light
B087QVQY78,1399.0,Highly,2 in 1 Laptops,"15.6 Inch, Dark Ash Silver",NVIDIA,Windows 10,17.5 Hours,16GB,DDR4,512GB,SSD,Normal,HP,Light
B087RSQGSV,1299.0,Highly,Traditional Laptops,,NVIDIA,Windows 10 Home,7 Hours,16GB,DDR4,256GB,SSD,Huge,Acer,Heavy
B087RTBMK5,319.99,Highly,Traditional Laptops,Silver,Intel,Windows 10 S,8 Hours,4GB,DDR4,128GB,SSD,Normal,Acer,Heavy
B087RTV311,545.6,Highly,Traditional Laptops,Silver,Intel,Windows 10 Home,8 Hours,8GB,DDR4,256GB,SSD,Normal,Acer,Heavy
B087VSSKXZ,277.28,Decent,Traditional Laptops,Black,Intel,Windows 10,10 Hours,4GB,DDR4,128GB,SSD,Normal,HP,Light
B087ZNP8FL,729.0,Highly,Traditional Laptops,Transparent Silver,AMD,"Windows 7, Windows 10",6 Hours,12GB,DDR4,512GB,SSD,Huge,ASUS,Heavy
B087ZR3671,463.0,Highly,Traditional Laptops,Black,Intel,Windows 10 Home,,8GB,DDR4,500GB,HDD,Normal,Dell,Heavy
B0882DBX66,634.65,Highly,Traditional Laptops,Silver,,Windows 10 Home,,,,,,Compact,Samsung,
B0884S5TMK,1288.88,Decent,Traditional Laptops,Natural Silver,NVIDIA,Windows 10,,16GB,DDR4,512GB,SSD,Normal,HP,Heavy
B0887WHLSW,899.99,Highly,Traditional Laptops,Black,Intel,Windows 10,,8GB,DDR4,256GB,SSD,Huge,HP,Heavy
B0888FPFGK,104.95,Highly,Traditional Laptops,Silver,Intel,Chrome OS,12 Hours,4GB,DDR4,32GB,eMMC,Compact,Samsung,Light
B088DQY4RZ,1699.0,Highly,Traditional Laptops,Black,NVIDIA,Windows 10 Home,,16GB,DDR4,256GB,SSD,Huge,Dell,Heavy
B088K23635,640.0,Highly,Traditional Laptops,Black,Intel,Windows 10 S,,8GB,DDR4,1TB,HDD,Normal,Dell,Heavy
B088KR8FZR,798.0,Highly,Traditional Laptops,Silver,AMD,Windows 10,9 Hours,12GB,,512GB,SSD,Normal,ASUS,Light
B088MHPYRX,749.0,Highly,Traditional Laptops,,Intel,Windows 10,,8GB,DDR4,,SSD,Compact,HP,
B0891M4TY8,1295.35,Highly,Traditional Laptops,Black,NVIDIA,Windows 10,,16GB,DDR4,256GB,SSD,Normal,Razer,Heavy
B088PB2868,899.99,Highly,Traditional Laptops,Fog Blue,Intel,Windows 10,8 Hours,16GB,,1TB,SSD,Normal,HP,Heavy
B088PVQFL3,1048.0,Highly,Traditional Laptops,Black,NVIDIA,Windows 10 Home,,16GB,,512GB,SSD,Normal,MSI,Heavy
B088SKJP6S,899.0,Highly,Traditional Laptops,Gray,Intel,Windows 10,9 Hours,8GB,DDR4,512GB,SSD,Normal,ASUS,Light
B088T2C912,725.0,Highly,2 in 1 Laptops,Fiesta Red,Intel,Chrome OS,8 Hours,8GB,DDR3,256GB,SSD,Compact,Samsung,Light
B088WGZFR6,299.97,Highly,Traditional Laptops,Silver,Intel,Chrome OS,12 Hours,4GB,DDR4,32GB,SSD,Normal,Acer,Heavy
B0892WH42D,587.0,Highly,Traditional Laptops,Pine Grey,Intel,Windows 10 Home,22 Hours,8GB,DDR4,256GB,SSD,Compact,ASUS,Light
B08952FB9G,456.6,Highly,Traditional Laptops,Onyx Black,,Windows 10,,,,,,Normal,Lenovo,
B08966H6XJ,569.99,Highly,Traditional Laptops,Nightfall Black,AMD,Windows 10,10 Hours,8GB,DDR4,256GB,SSD,Normal,HP,Heavy
B0897WZSZ6,1499.99,Decent,Traditional Laptops,Silver,NVIDIA,Windows 10 Pro,,16GB,DDR4,1TB,SSD,Normal,Dell,Heavy
B0899L8GR1,139.0,Highly,Traditional Laptops,Gray,,Chrome OS,,,,,,Compact,ASUS,Light
B089B6TCQC,189.99,Highly,Traditional Laptops,Black,Intel,Windows 10 Pro,,16GB,,256GB,SSD,Compact,Dell,Light
B089CZTDCP,699.99,Decent,Traditional Laptops,Sliver,Intel,Windows 10,8 Hours,12GB,DDR4,1TB,SSD,Huge,HP,Heavy
B089MCLQR3,409.0,Highly,Traditional Laptops,Natural Silver,Intel,Windows 11 S,,8GB,DDR4,256GB,SSD,Normal,HP,Light
B089MFTXX8,905.99,Highly,2 in 1 Laptops,Black,AMD,Windows 10,10 Hours,8GB,DDR4,256GB,SSD,Normal,HP,Heavy
B089S9N86P,249.0,Highly,Traditional Laptops,Pink,Intel,Windows 10 S,14 Hours,4GB,DDR4,64GB,eMMC,Compact,HP,Light
B089T5V5FX,154.99,Highly,Traditional Laptops,Black,Intel,Chrome OS,10 Hours,4GB,DDR4,32GB,SSD,Compact,Lenovo,Light
B089T6DX1R,330.0,Decent,Traditional Laptops,,AMD,Windows 10,9 Hours,4GB,DDR4,,,Compact,HP,Light
B089VHVCCK,689.0,Highly,Traditional Laptops,,NVIDIA,Windows 10,,8GB,,512GB,SSD,Normal,MSI,Heavy
B089YW8GRQ,365.89,Well,2 in 1 Laptops,,Intel,Windows 10 Pro,,16GB,DDR3,512GB,SSD,Compact,Dell,Light
B08B17W9B6,599.99,Decent,Traditional Laptops,Grey/black,AMD,Windows 10,,8GB,DDR3,240GB,SSD,Normal,Panasonic,Heavy
B08B1TW8S2,660.0,Highly,Traditional Laptops,Silver,AMD,Windows 10,4 Hours,8GB,DDR4,512GB,SSD,Normal,HP,Heavy
B08B3SH23B,1599.99,Highly,Traditional Laptops,Natural Silver,NVIDIA,Windows 10 Home,"9.0, 12.0, 5.0 Hours",16GB,DDR4,512GB,SSD,Compact,HP,Light
B08B3X4L95,522.52,Highly,Traditional Laptops,Gold,Intel,Windows 10,,8GB,DDR4,256GB,SSD,Compact,HP,Heavy
B08B46N9M6,275.0,Decent,Traditional Laptops,Black,Intel,Windows 10 Pro,,16GB,DDR4,512GB,SSD,Normal,Dell,Light
B08B643THT,611.0,Highly,2 in 1 Laptops,,AMD,,10 Hours,16GB,,,,Compact,Lenovo,
B08BCHX2V8,1099.0,Decent,2 in 1 Laptops,Natural silver,Intel,Windows 10,9.25 Hours,32GB,DDR4,2TB,SSD,Normal,HP,Heavy
B08BHK5L4M,218.86,Decent,Traditional Laptops,White,Intel,Windows 10,"5.0, 4.0 Hours",2GB,,32GB,HDD,Compact,Goldengulf,Light
B08BKTV44K,899.0,Highly,Traditional Laptops,Blue,Intel,Windows 10 Pro,,20GB,DDR4,1TB,SSD,Huge,Lenovo,Heavy
B08BMLZKL2,479.0,Highly,Traditional Laptops,Silver,Intel,Windows 10,8 Hours,12GB,DDR4,256GB,SSD,Normal,HP,Heavy
B08C81JT39,518.0,Highly,Traditional Laptops,Light Gray,NVIDIA,"Windows 10,Windows 10 Home",6 Hours,,DDR4,256GB,SSD,Compact,ASUS,Light
B08CCKVS59,566.56,Highly,Traditional Laptops,Space Gray,Intel,Mac OS X 10.0 Cheetah,11 Hours,8GB,DDR3,256GB,SSD,Compact,Apple,Heavy
B08CMB8F7C,259.99,Highly,Traditional Laptops,Indigo Blue,AMD,Windows 10 Home,9 Hours,4GB,DDR4,64GB,HDD,Compact,HP,Light
B08CMQ1NRS,364.99,Highly,Traditional Laptops,Natural Silver,Integrated,Windows 10 Home,10.75 Hours,8GB,DDR4,256GB,SSD,Normal,HP,Light
B08CQ4JZ8V,359.0,Decent,Traditional Laptops,,Intel,Windows 10,,4GB,DDR4,500GB,HDD,Normal,HP,Heavy
B08CSGQMRM,284.99,Decent,Traditional Laptops,Smoke Gray,Hp,Windows 10 Home,465 minutes,4GB,DDR3,32GB,SSD,Compact,HP,Light
B08CSHM6K1,399.0,Highly,Traditional Laptops,Diamond White,AMD,Windows 10 S,"7.0, 6.0 Hours",4GB,,64GB,HDD,Compact,HP,Light
B08CSHM6L3,179.83,Highly,Traditional Laptops,Chalkboard Gray,AMD,Chrome OS,9.25 Hours,4GB,DDR4,32GB,SSD,Compact,HP,Light
B0BPSG9F1N,1549.99,Highly,Traditional Laptops,Titanium Blue,NVIDIA,Windows 10 Home,,64GB,DDR4,1TB,SSD,Huge,MSI,Heavy
B08CSHPBL8,162.0,Highly,Traditional Laptops,Gray,Intel,Windows 10,,4GB,DDR3L,64GB,SSD,Compact,HP,Light
B08CSHQJH4,241.0,Highly,Traditional Laptops,Diamond White,Intel,Windows 10 Home,14.25 Hours,4GB,,32GB,HDD,Compact,HP,Light
B08CZ5VMQY,469.99,Decent,Traditional Laptops,Mineral Silver,Intel,Chrome OS,,8GB,,64GB,eMMC,,HP,Light
B08DC72FBT,499.99,Highly,Traditional Laptops,Platinum,Intel,Windows 10 Home,,16GB,DDR4,256GB,SSD,Compact,Microsoft,Light
B08DDB4R6T,1069.0,Decent,Traditional Laptops,Silver,Intel,Mac OS,11 Hours,16GB,DDR4,1TB,SSD,Normal,Apple,Heavy
B08DG6YJ6M,719.52,Highly,Traditional Laptops,Black,AMD,Windows 10,10 Hours,32GB,DDR4,1TB,SSD,Normal,HP,Heavy
B08DLBG8ZJ,2909.6,Decent,Traditional Laptops,Black,NVIDIA,Windows 10,,16GB,DDR4,512GB,SSD,Huge,Razer,Heavy
B08DL47JTT,819.97,Highly,Traditional Laptops,Gray,NVIDIA,Windows 10 Home,,8GB,DDR4,512GB,SSD,Normal,ASUS,Heavy
B08DL4X5R4,199.0,Highly,Traditional Laptops,Platinum Titan,Intel,Chrome OS,10 Hours,4GB,DDR3,32GB,SSD,Compact,Unknown,Light
B08DLSFBG1,755.0,Decent,Traditional Laptops,Graphite gray,Intel,Windows 10,12 Hours,16GB,DDR4,512GB,SSD,Normal,Lenovo,Heavy
B08DRK4KWW,1178.88,Highly,Traditional Laptops,Shadow Black,NVIDIA,Windows 10 Home,10 Hours,8GB,DDR4,512GB,SSD,Huge,HP,Heavy
B08DTJC9N7,679.0,Highly,Traditional Laptops,Gray,Intel,Chrome OS,4 Hours,8GB,DDR4X,128GB,SSD,Compact,Acer,Heavy
